questao,item,disciplina,status,rotulo,melhor_score,melhor_arquivo,secao,query,item_texto
1,1,Língua Portuguesa,anotada,Anotada,0.6304,01 - LÍNGUA PORTUGUESA/01 - Domínio da modalidade culta/1.3 - Semântica/_Semântica.md,Ironia,"embora seja um objeto importante nos dois romances mencionados o mulato e memórias póstumas de brás cubas o sinete r 82 mostra-se fundamental no romance de aluísio azevedo de feição naturalista
embora seja objeto importante dois romances mencionados mulato memórias póstumas contexto língua portuguesa 1881 mais significativos
**Contexto:** LÍNGUA PORTUGUESA O ano de 1881 foi dos mais significativos e 1 importantes para a ficção no Brasil, pois que nele se publicaram as Memórias Póstumas de Brás Cubas, de Machado de Assis (saídas na Revista Brasileira, no ano 4 anterior) e O Mulato,","Embora seja um objeto importante nos dois romances mencionados — O Mulato e Memórias Póstumas de Brás Cubas —, o “sinete” (R.82) mostra-se fundamental no romance de Aluísio Azevedo, de feição naturalista."
1,2,Língua Portuguesa,anotada,Anotada,0.6457,01 - LÍNGUA PORTUGUESA/01 - Domínio da modalidade culta/1.2 - Morfossintaxe/_Morfossintaxe.md,23. **Construções Sintáticas Eruditas** (parte 2),"do o elemento de escândalo social intrínseco à temática de memórias póstumas de brás cubas não foi compreendido pelo meio intelectual nem pelo público no momento da publicação do romance na revista brasileira em 1880 tampouco em seu lançamento em formato de livro em 1881
elemento escândalo social intrínseco temática memórias póstumas brás cubas compreendido contexto língua portuguesa 1881 mais significativos
**Contexto:** LÍNGUA PORTUGUESA O ano de 1881 foi dos mais significativos e 1 importantes para a ficção no Brasil, pois que nele se publicaram as Memórias Póstumas de Brás Cubas, de Machado de Assis (saídas na Revista Brasileira, no ano 4 anterior) e O Mulato,","Segundo a autora do texto, o elemento de escândalo social intrínseco à temática de Memórias Póstumas de Brás Cubas não foi compreendido pelo meio intelectual, nem pelo público, no momento da publicação do romance na Revista Brasileira, em 1880, tampouco em seu lançamento em formato de livro, em 1881."
1,3,Língua Portuguesa,anotada,Anotada,0.6760,"01 - LÍNGUA PORTUGUESA/02 - Leitura e produção de textos/2.2 - Conhecimentos de linguística, literatura e estilística/_Conhecimentos de linguística, literatura e estilística.md",Foco Preditivo e Dicas de Estudo,"a argumenta no que o romance de machado de assis é representante de uma tendência analítica em literatura ao passo que o mulato demonstra tendência descritiva tendo alcançado na época de sua publicação maior popularidade que memórias póstumas de brás cubas
argumenta romance machado assis representante tendência analítica literatura passo mulato contexto língua portuguesa 1881 mais significativos
**Contexto:** LÍNGUA PORTUGUESA O ano de 1881 foi dos mais significativos e 1 importantes para a ficção no Brasil, pois que nele se publicaram as Memórias Póstumas de Brás Cubas, de Machado de Assis (saídas na Revista Brasileira, no ano 4 anterior) e O Mulato,","A autora argumenta, no texto, que o romance de Machado de Assis é representante de uma tendência analítica em literatura, ao passo que O Mulato demonstra tendência descritiva, tendo alcançado, na época de sua publicação, maior popularidade que Memórias Póstumas de Brás Cubas."
1,4,Língua Portuguesa,anotada,Anotada,0.6616,"01 - LÍNGUA PORTUGUESA/02 - Leitura e produção de textos/2.3.1 - Defeitos de conteúdo (descontextualização, simplismo, etc.)/_Defeitos de conteúdo (descontextualização, simplismo, etc.).md",Exercício 2: O Papel do Conselho de Segurança da ONU,"é possível concluir do que tal como aconteceu em 1822 no plano político a independência literária r 41 de 1881 caracterizou-se como um movimento de liberdade de concepção e expressão r 44 e 45 uma vez que tanto o mulato quanto memórias póstumas de brás cubas expressaram o afastamento de seus autores da submissão intelectual a escritores estrangeiros como zola e eça de queirós
possível concluir como aconteceu 1822 plano político independência literária 1881 contexto língua portuguesa mais significativos
**Contexto:** LÍNGUA PORTUGUESA O ano de 1881 foi dos mais significativos e 1 importantes para a ficção no Brasil, pois que nele se publicaram as Memórias Póstumas de Brás Cubas, de Machado de Assis (saídas na Revista Brasileira, no ano 4 anterior) e O Mulato,","É possível concluir do texto que, tal como aconteceu em 1822 no plano político, a “independência literária” (R.41) de 1881 caracterizou-se como um movimento de “liberdade de concepção e expressão” (R. 44 e 45), uma vez que tanto O Mulato quanto Memórias Póstumas de Brás Cubas expressaram o afastamento de seus autores da submissão intelectual a escritores estrangeiros, como Zola e Eça de Queirós."
2,1,Língua Portuguesa,anotada,Anotada,0.6521,"01 - LÍNGUA PORTUGUESA/02 - Leitura e produção de textos/2.2 - Conhecimentos de linguística, literatura e estilística/_Conhecimentos de linguística, literatura e estilística.md",Exemplos de Gêneros Textuais Relevantes,"das informações originais do e de sua correção gramatical o trecho abandonando os episódios sentimentais larga e profundamente humano r 71 a 76 poderia ser reescrito da seguinte forma ao abandonar os episódios sentimentais que até esse momento se tenha privilegiado e ao instalar-se no íntimo de suas criaturas descobriu machado de assis seres em que reações tipicamente brasileiras não eram contrárias ao caráter humano no sentido mais largo e profundo
informações originais correção gramatical trecho abandonando episódios sentimentais larga profundamente contexto submissão intelectual escritores estrangeiros como
**Contexto:** da submissão intelectual a escritores estrangeiros, como Zola e Eça de Queirós.","Sem prejuízo das informações originais do texto e de sua correção gramatical, o trecho “Abandonando os episódios sentimentais (...) larga e profundamente humano” (R. 71 a 76) poderia ser reescrito da seguinte forma: Ao abandonar os episódios sentimentais que até esse momento se tenha privilegiado e ao instalar-se no íntimo de suas criaturas, descobriu, Machado de Assis, seres em que reações tipicamente brasileiras não eram contrárias ao caráter humano no sentido mais largo e profundo."
2,2,Língua Portuguesa,anotada,Anotada,0.6005,"01 - LÍNGUA PORTUGUESA/02 - Leitura e produção de textos/2.3.1 - Defeitos de conteúdo (descontextualização, simplismo, etc.)/_Defeitos de conteúdo (descontextualização, simplismo, etc.).md",1. Descontextualização: O Uso Isolado de Repertório,"em descontada a parte do coeficiente pessoal r 66 a palavra coeficiente foi empregada no sentido de fator circunstância
descontada parte coeficiente pessoal palavra empregada sentido fator circunstância contexto submissão intelectual escritores estrangeiros como
**Contexto:** da submissão intelectual a escritores estrangeiros, como Zola e Eça de Queirós.","Em “Descontada a parte do coeficiente pessoal” (R.66), a palavra “coeficiente” foi empregada no sentido de fator, circunstância."
2,3,Língua Portuguesa,anotada,Anotada,0.6499,"01 - LÍNGUA PORTUGUESA/02 - Leitura e produção de textos/2.2 - Conhecimentos de linguística, literatura e estilística/_Conhecimentos de linguística, literatura e estilística.md",Foco Preditivo e Dicas de Estudo,"a retirada do pronome oblíquo na oração ele o possuiu inteiramente r 52 preservaria a correção gramatical e o sentido original do
retirada pronome oblíquo oração possuiu inteiramente preservaria correção gramatical sentido contexto submissão intelectual escritores estrangeiros como
**Contexto:** da submissão intelectual a escritores estrangeiros, como Zola e Eça de Queirós.",A retirada do pronome oblíquo na oração “ele o possuiu inteiramente” (R.52) preservaria a correção gramatical e o sentido original do texto.
2,4,Língua Portuguesa,anotada,Anotada,0.6342,01 - LÍNGUA PORTUGUESA/01 - Domínio da modalidade culta/1.2 - Morfossintaxe/_Morfossintaxe.md,10. **Orações Subordinadas Substantivas** (parte 3),"os sujeitos das formas verbais varriam-se r 31 e afirmava-se r 35 estão elípticos e seu referente é a obra memórias póstumas de brás cubas
sujeitos formas verbais varriam-se afirmava-se estão elípticos referente obra memórias contexto submissão intelectual escritores estrangeiros como
**Contexto:** da submissão intelectual a escritores estrangeiros, como Zola e Eça de Queirós.","Os sujeitos das formas verbais “varriam-se” (R.31) e “afirmava-se” (R. 35) estão elípticos, e seu referente é a obra Memórias Póstumas de Brás Cubas."
3,1,Língua Portuguesa,anotada,Anotada,0.6298,01 - LÍNGUA PORTUGUESA/01 - Domínio da modalidade culta/1.3 - Semântica/_Semântica.md,Ironia,"no o narrador emprega a expressão grandes hiatos r 7 para se referir a locais despovoados da cidade que ele ia conhecendo de bonde
narrador emprega expressão grandes hiatos para referir locais despovoados cidade contexto saltando outro aventurando-me travessas
**Contexto:** , saltando de um para outro, 1 aventurando-me por travessas afastadas, para buscar o veículo em outros bairros. Da Tijuca ia ao Andaraí e daí à Vila Isabel; e assim, passando de um bairro para outro, procurando 4 travessas despovoadas e sem calça","No texto, o narrador emprega a expressão “grandes hiatos”(R.7) para se referir a locais despovoados da cidade, que ele ia conhecendo de bonde."
3,2,Língua Portuguesa,anotada,Anotada,0.6744,01 - LÍNGUA PORTUGUESA/01 - Domínio da modalidade culta/1.2 - Morfossintaxe/_Morfossintaxe.md,Termos Essenciais,"o narrador supõe existir um verdadeiro leiva r 64 que se vislumbra na poesia palaciana e de modista r 59 deste personagem e imagina que caso passasse a viver em condições econômicas mais favoráveis leiva se revelaria descrente dos ideais revolucionários e atraído pelo conforto material
narrador supõe existir verdadeiro leiva vislumbra poesia palaciana modista deste contexto saltando para outro aventurando-me travessas
**Contexto:** , saltando de um para outro, 1 aventurando-me por travessas afastadas, para buscar o veículo em outros bairros. Da Tijuca ia ao Andaraí e daí à Vila Isabel; e assim, passando de um bairro para outro, procurando 4 travessas despovoadas e sem calça","O narrador supõe existir um “verdadeiro Leiva” (R.64), que se vislumbra na “poesia palaciana e de modista” (R.59) deste personagem, e imagina que, caso passasse a viver em condições econômicas mais favoráveis, Leiva se revelaria descrente dos ideais revolucionários e atraído pelo conforto material."
