questao,item,disciplina,status,rotulo,melhor_score,melhor_arquivo,secao,query,item_texto
34,1,Língua Inglesa,candidata,Candidata,0.3907,"02 - LÍNGUA INGLESA/01 - Primeira Fase/1 - Compreensão de textos escritos/_Lexicology, Register, and Stylistic Density.md",The Rhetorical Function of Dense Literary Prose,"the text stresses the difference between the opinions of cave artists and of modern art scholars in terms of the concept of the artistic genius
text stresses difference between opinions cave artists modern scholars terms contexto prova objetiva primeira fase tarde
**Contexto:** -- PROVA OBJETIVA – PRIMEIRA FASE – TARDE -- LÍNGUA INGLESA Text I Despite the tricky and life-threatening relationship between Paleolithic humans and the megafauna that comprised so much of their environment, twentieth-century scholars tended to",The text stresses the difference between the opinions of cave artists and of modern art scholars in terms of the concept of the artistic genius.
34,2,Língua Inglesa,candidata,Candidata,0.3469,"02 - LÍNGUA INGLESA/01 - Primeira Fase/1 - Compreensão de textos escritos/_Lexicology, Register, and Stylistic Density.md",The Rhetorical Function of Dense Literary Prose,"the author sides with those who take cave art to be a great spiritual symbol as stated in the first paragraph
author sides with those take cave great spiritual symbol stated contexto prova objetiva primeira fase tarde
**Contexto:** -- PROVA OBJETIVA – PRIMEIRA FASE – TARDE -- LÍNGUA INGLESA Text I Despite the tricky and life-threatening relationship between Paleolithic humans and the megafauna that comprised so much of their environment, twentieth-century scholars tended to","The author sides with those who take cave art to be a ‘great spiritual symbol’, as stated in the first paragraph."
34,3,Língua Inglesa,candidata,Candidata,0.3475,"02 - LÍNGUA INGLESA/01 - Primeira Fase/1 - Compreensão de textos escritos/_Lexicology, Register, and Stylistic Density.md",The Rhetorical Function of Dense Literary Prose,"the text suggests that 20th-century scholars had an erroneous perspective on how cave art should be viewed
text suggests that 20th-century scholars erroneous perspective cave should viewed contexto prova objetiva primeira fase tarde
**Contexto:** -- PROVA OBJETIVA – PRIMEIRA FASE – TARDE -- LÍNGUA INGLESA Text I Despite the tricky and life-threatening relationship between Paleolithic humans and the megafauna that comprised so much of their environment, twentieth-century scholars tended to",The text suggests that 20th-century scholars had an erroneous perspective on how cave art should be viewed.
34,4,Língua Inglesa,fraca,Sinal fraco,0.2818,"02 - LÍNGUA INGLESA/01 - Primeira Fase/1 - Compreensão de textos escritos/_Lexicology, Register, and Stylistic Density.md",The Rhetorical Function of Dense Literary Prose,"the author concludes that cave artists depicted humans as weak to show the preponderance megafauna had in those days
author concludes that cave artists depicted humans weak show preponderance contexto prova objetiva primeira fase tarde
**Contexto:** -- PROVA OBJETIVA – PRIMEIRA FASE – TARDE -- LÍNGUA INGLESA Text I Despite the tricky and life-threatening relationship between Paleolithic humans and the megafauna that comprised so much of their environment, twentieth-century scholars tended to",The author concludes that cave artists depicted humans as weak to show the preponderance megafauna had in those days.
35,1,Língua Inglesa,candidata,Candidata,0.3814,02 - LÍNGUA INGLESA/01 - Primeira Fase/2 - Itens gramaticais relevantes/_Itens gramaticais relevantes.md,When to Use Each Structure,"in the last sentence of the text inserting a comma immediately after the first occurrence of that would make the sentence grammatically incorrect
last sentence text inserting comma immediately after first occurrence that contexto judge whether following items about
**Contexto:** Judge whether the following items about text I are right (C) or wrong (E).","In the last sentence of the text, inserting a comma immediately after the first occurrence of “that” would make the sentence grammatically incorrect."
35,2,Língua Inglesa,candidata,Candidata,0.3469,"02 - LÍNGUA INGLESA/01 - Primeira Fase/1 - Compreensão de textos escritos/_Lexicology, Register, and Stylistic Density.md",Development: Comprehensive Consequences and the Imperative of Cooperation,"in the expressions unalloyed triumph first sentence of the text and sheer silliness first sentence of the second paragraph the adjectives unalloyed and sheer convey similar meanings
expressions unalloyed triumph first sentence text sheer silliness second paragraph contexto judge whether following items about
**Contexto:** Judge whether the following items about text I are right (C) or wrong (E).","In the expressions “unalloyed triumph” (first sentence of the text) and “sheer silliness” (first sentence of the second paragraph), the adjectives “unalloyed” and “sheer” convey similar meanings."
35,3,Língua Inglesa,candidata,Candidata,0.3187,"02 - LÍNGUA INGLESA/01 - Primeira Fase/1 - Compreensão de textos escritos/_Lexicology, Register, and Stylistic Density.md",Block 4 — Discursive Script (Phase 3/4 - Composition),"the last sentence of the second paragraph could be rewritten maintaining its original meaning and correctness as accordingly judith thurman has already written that cave artists notwithstanding their respect for naturalistic portraits have an aversion to painting human beings with traces of crudeness which suggests mockery
last sentence second paragraph could rewritten maintaining original meaning correctness contexto judge whether following items about
**Contexto:** Judge whether the following items about text I are right (C) or wrong (E).","The last sentence of the second paragraph could be rewritten, maintaining its original meaning and correctness, as: Accordingly, Judith Thurman has already written that cave artists, notwithstanding their respect for naturalistic portraits, have an aversion to painting human beings with traces of crudeness, which suggests mockery."
35,4,Língua Inglesa,candidata,Candidata,0.3118,"02 - LÍNGUA INGLESA/01 - Primeira Fase/1 - Compreensão de textos escritos/_Lexicology, Register, and Stylistic Density.md",Block 4 — Discursive Script (Phase 3/4 - Composition),"by stating that the human figures in cave art are
stating that human figures cave contexto judge whether following items about
**Contexto:** Judge whether the following items about text I are right (C) or wrong (E).",By stating that the human figures in cave art are
36,1,Língua Inglesa,candidata,Candidata,0.3678,"02 - LÍNGUA INGLESA/01 - Primeira Fase/1 - Compreensão de textos escritos/_Lexicology, Register, and Stylistic Density.md",The Tension Between Plain English and Classical Formality (parte 2),"as used in the third sentence of the first paragraph the expression most exacting class of critics refers to critics who worry too much about being correct
used third sentence first paragraph expression most exacting class critics contexto considering text judge whether following
**Contexto:** Considering text II, judge whether the following statements are right (C) or wrong (E).","As used in the third sentence of the first paragraph, the expression “most exacting class of critics” refers to critics who worry too much about being correct."
36,2,Língua Inglesa,candidata,Candidata,0.4218,"02 - LÍNGUA INGLESA/01 - Primeira Fase/1 - Compreensão de textos escritos/_Lexicology, Register, and Stylistic Density.md",Block 4 — Discursive Script (Phase 3/4 - Composition),"in the fragment most exacting class of critics critics who are quick to third sentence of the first paragraph omitting the second occurrence of the word critics would maintain the grammar correctness of the sentence
fragment most exacting class critics quick third sentence first paragraph contexto considering text judge whether following
**Contexto:** Considering text II, judge whether the following statements are right (C) or wrong (E).","In the fragment “most exacting class of critics, critics who are quick to (…)” (third sentence of the first paragraph), omitting the second occurrence of the word “critics” would maintain the grammar correctness of the sentence."
36,3,Língua Inglesa,candidata,Candidata,0.3691,"02 - LÍNGUA INGLESA/01 - Primeira Fase/1 - Compreensão de textos escritos/_Lexicology, Register, and Stylistic Density.md",Block 4 — Discursive Script (Phase 3/4 - Composition),"by stating that he wants to show the reader the lie of the land first sentence of the text the author means that he wants to inform the reader of the rules he followed in writing the book
stating that wants show reader land first sentence text author contexto considering judge whether following
**Contexto:** Considering text II, judge whether the following statements are right (C) or wrong (E).","By stating that he wants to show the reader “the lie of the land” (first sentence of the text), the author means that he wants to inform the reader of the rules he followed in writing the book."
36,4,Língua Inglesa,candidata,Candidata,0.3332,02 - LÍNGUA INGLESA/01 - Primeira Fase/2 - Itens gramaticais relevantes/_Itens gramaticais relevantes.md,Key Examples,"in the fragment i have never believed that books for young people should differ from books for adults except for the fact that they must reckon with the most exacting class of critics third sentence of the first paragraph the referent for the pronoun they is adults
fragment have never believed that books young people should differ contexto considering text judge whether following
**Contexto:** Considering text II, judge whether the following statements are right (C) or wrong (E).","In the fragment “I have never believed that books for young people should differ from books for adults except for the fact that they must reckon with the most exacting class of critics” (third sentence of the first paragraph), the referent for the pronoun “they” is “adults”."
37,1,Língua Inglesa,candidata,Candidata,0.3645,02 - LÍNGUA INGLESA/01 - Primeira Fase/2 - Itens gramaticais relevantes/_Itens gramaticais relevantes.md,The Golden Rule,"in the last sentence of the text the word dog has a similar meaning to trouble
last sentence text word similar meaning trouble contexto based judge whether following
**Contexto:** Based on text II, judge whether the following statements are right (C) or wrong (E).","In the last sentence of the text, the word “dog” has a similar meaning to trouble."
37,2,Língua Inglesa,candidata,Candidata,0.3260,"02 - LÍNGUA INGLESA/01 - Primeira Fase/1 - Compreensão de textos escritos/_Lexicology, Register, and Stylistic Density.md",The Tension Between Plain English and Classical Formality (parte 2),"the excerpt lest the well-known masterpieces be crowded out by my own personal favourites second sentence of the second paragraph could be maintaining the coherence and correctness of the original correctly replaced with to avoid leaving the well-known masterpieces out to fill the book with my own personal favourites
excerpt lest well-known masterpieces crowded personal favourites second sentence paragraph contexto based text judge whether following
**Contexto:** Based on text II, judge whether the following statements are right (C) or wrong (E).","The excerpt “lest the well-known masterpieces be crowded out by my own personal favourites” (second sentence of the second paragraph) could be, maintaining the coherence and correctness of the original, correctly replaced with to avoid leaving the well-known masterpieces out to fill the book with my own personal favourites."
37,3,Língua Inglesa,candidata,Candidata,0.3095,"02 - LÍNGUA INGLESA/01 - Primeira Fase/1 - Compreensão de textos escritos/_Lexicology, Register, and Stylistic Density.md",Block 4 — Discursive Script (Phase 3/4 - Composition),"it can be correctly concluded from the excerpt praise is so much duller than criticism ninth sentence of the first paragraph that the author wishes to write a book criticizing what he considers monstrosities
correctly concluded from excerpt praise much duller than criticism ninth contexto based text judge whether following
**Contexto:** Based on text II, judge whether the following statements are right (C) or wrong (E).",It can be correctly concluded from the excerpt “Praise is so much duller than criticism” (ninth sentence of the first paragraph) that the author wishes to write a book criticizing what he considers “monstrosities”.
37,4,Língua Inglesa,candidata,Candidata,0.3632,02 - LÍNGUA INGLESA/01 - Primeira Fase/2 - Itens gramaticais relevantes/_Itens gramaticais relevantes.md,Key Examples,"in for them the familiar appearance third sentence of second paragraph them refers to the people the book is meant for those who look for bearings in a new field espaço livre
them familiar appearance third sentence second paragraph refers people book contexto based text judge whether following
**Contexto:** Based on text II, judge whether the following statements are right (C) or wrong (E).","In “for them the familiar appearance” (third sentence of second paragraph), “them” refers to the people the book is meant for: “those who look for bearings in a new field”. Espaço livre"
