questao,item,disciplina,status,rotulo,melhor_score,melhor_arquivo,secao,query,item_texto
35,1,Língua Inglesa,candidata,Candidata,0.4415,"02 - LÍNGUA INGLESA/01 - Primeira Fase/1 - Compreensão de textos escritos/_Lexicology, Register, and Stylistic Density.md",Literary Vocabulary and Dense Prose (parte 2),"in the first paragraph the word swathes line 1 can be correctly replaced with areas
first paragraph word swathes line correctly replaced with areas contexto tipo edital julho 2019 concurso
**Contexto:** Tipo “A” EDITAL Nº 1, DE 5 DE JULHO DE 2019 CONCURSO DE ADMISSÃO À CARREIRA DE DIPLOMATA CARGO: TERCEIRO-SECRETÁRIO DA CARREIRA DE DIPLOMATA Data e horário da prova: domingo, 8/9/2019, às 15 h. I N S T R U Ç Õ E S  Você receberá do fiscal: o um","In the first paragraph, the word “swathes” (line 1) can be correctly replaced with areas."
35,2,Língua Inglesa,candidata,Candidata,0.4331,"02 - LÍNGUA INGLESA/01 - Primeira Fase/1 - Compreensão de textos escritos/_Lexicology, Register, and Stylistic Density.md",Introduction: Presenting the Crisis and Diagnosing the Foundations,"in the first paragraph the word blast line 3 can be correctly replaced with number
first paragraph word blast line correctly replaced with number contexto tipo edital julho 2019 concurso
**Contexto:** Tipo “A” EDITAL Nº 1, DE 5 DE JULHO DE 2019 CONCURSO DE ADMISSÃO À CARREIRA DE DIPLOMATA CARGO: TERCEIRO-SECRETÁRIO DA CARREIRA DE DIPLOMATA Data e horário da prova: domingo, 8/9/2019, às 15 h. I N S T R U Ç Õ E S  Você receberá do fiscal: o um","In the first paragraph, the word “blast” (line 3) can be correctly replaced with number."
35,3,Língua Inglesa,fraca,Sinal fraco,0.2314,"02 - LÍNGUA INGLESA/01 - Primeira Fase/1 - Compreensão de textos escritos/_Lexicology, Register, and Stylistic Density.md",Introduction: Presenting the Crisis and Diagnosing the Foundations,"deaths caused by heatwaves do not shock people as much as deaths by other natural disasters do
deaths caused heatwaves shock people much other natural disasters contexto tipo edital julho 2019 concurso
**Contexto:** Tipo “A” EDITAL Nº 1, DE 5 DE JULHO DE 2019 CONCURSO DE ADMISSÃO À CARREIRA DE DIPLOMATA CARGO: TERCEIRO-SECRETÁRIO DA CARREIRA DE DIPLOMATA Data e horário da prova: domingo, 8/9/2019, às 15 h. I N S T R U Ç Õ E S  Você receberá do fiscal: o um",Deaths caused by heatwaves do not shock people as much as deaths by other natural disasters do.
35,4,Língua Inglesa,candidata,Candidata,0.3435,"02 - LÍNGUA INGLESA/01 - Primeira Fase/1 - Compreensão de textos escritos/_Lexicology, Register, and Stylistic Density.md",Literary Vocabulary and Dense Prose (parte 2),"heatwaves are probably more lethal than floods
heatwaves probably more lethal than floods contexto tipo edital julho 2019 concurso
**Contexto:** Tipo “A” EDITAL Nº 1, DE 5 DE JULHO DE 2019 CONCURSO DE ADMISSÃO À CARREIRA DE DIPLOMATA CARGO: TERCEIRO-SECRETÁRIO DA CARREIRA DE DIPLOMATA Data e horário da prova: domingo, 8/9/2019, às 15 h. I N S T R U Ç Õ E S  Você receberá do fiscal: o um",Heatwaves are probably more lethal than floods.
36,1,Língua Inglesa,candidata,Candidata,0.4251,"02 - LÍNGUA INGLESA/01 - Primeira Fase/1 - Compreensão de textos escritos/_Lexicology, Register, and Stylistic Density.md",Introduction: Presenting the Crisis and Diagnosing the Foundations,"in the second paragraph the words havoc line 16 and ravages line 19 both mean extensive or devastating destruction
second paragraph words havoc line ravages both mean extensive devastating contexto deaths other natural disasters heatwaves
**Contexto:** h as deaths by other natural disasters do. 4 Heatwaves are probably more lethal than floods. Considering the ideas and the vocabulary in the text, mark the following items as right (C) or wrong (E).","In the second paragraph, the words “havoc” (line 16) and “ravages” (line 19) both mean “extensive or devastating destruction”."
36,2,Língua Inglesa,fraca,Sinal fraco,0.2515,02 - LÍNGUA INGLESA/01 - Primeira Fase/2 - Itens gramaticais relevantes/_Itens gramaticais relevantes.md,Classic Trap — Passive vs. Pure Adjective,"the cause-effect relationship between heatwaves and deaths is not obvious
cause-effect relationship between heatwaves deaths obvious contexto other natural disasters
**Contexto:** h as deaths by other natural disasters do. 4 Heatwaves are probably more lethal than floods. Considering the ideas and the vocabulary in the text, mark the following items as right (C) or wrong (E).",The cause-effect relationship between heatwaves and deaths is not obvious.
36,3,Língua Inglesa,fraca,Sinal fraco,0.2588,"02 - LÍNGUA INGLESA/01 - Primeira Fase/1 - Compreensão de textos escritos/_Lexicology, Register, and Stylistic Density.md",Introduction: Presenting the Crisis and Diagnosing the Foundations,"not only do heatwaves kill immediately but they also lead to eventual deaths
only heatwaves kill immediately they also lead eventual deaths contexto other natural disasters
**Contexto:** h as deaths by other natural disasters do. 4 Heatwaves are probably more lethal than floods. Considering the ideas and the vocabulary in the text, mark the following items as right (C) or wrong (E).",Not only do heatwaves kill immediately but they also lead to eventual deaths.
36,4,Língua Inglesa,candidata,Candidata,0.3267,"02 - LÍNGUA INGLESA/01 - Primeira Fase/1 - Compreensão de textos escritos/_Lexicology, Register, and Stylistic Density.md",Introduction: Presenting the Crisis and Diagnosing the Foundations,"emissions need to be stopped if a heatwave like the one in 2003 is to be avoided espaço livre concurso público terceiro-secretário da carreira de diplomata tipo a text 6 to answer questions from 37 to 39
emissions need stopped heatwave like 2003 avoided espaço livre concurso contexto deaths other natural disasters heatwaves
**Contexto:** h as deaths by other natural disasters do. 4 Heatwaves are probably more lethal than floods. Considering the ideas and the vocabulary in the text, mark the following items as right (C) or wrong (E).",Emissions need to be stopped if a heatwave like the one in 2003 is to be avoided. Espaço livre CONCURSO PÚBLICO TERCEIRO-SECRETÁRIO DA CARREIRA DE DIPLOMATA – TIPO “A” Text 6 to answer questions from 37 to 39.
37,1,Língua Inglesa,fraca,Sinal fraco,0.2468,"02 - LÍNGUA INGLESA/01 - Primeira Fase/1 - Compreensão de textos escritos/_Lexicology, Register, and Stylistic Density.md",Block 1 — Stylistic Debate and Language Register (Historiography of Discourse),"another correct preposition used with the verb compared line 2 is with as in to compare with
another correct preposition used with verb compared line compare contexto since 1914 structure world changed
**Contexto:** 1 4 Since 1914 the structure of the world has changed. Compared to the present struggle between West and East, the rivalries of the eighteenth and nineteenth centuries sink into insignificance. Today we are faced, not with a clash of interests, b","Another correct preposition used with the verb “Compared” (line 2) is with, as in “to compare with”."
37,2,Língua Inglesa,fraca,Sinal fraco,0.2919,"02 - LÍNGUA INGLESA/01 - Primeira Fase/1 - Compreensão de textos escritos/_Lexicology, Register, and Stylistic Density.md",Literary Vocabulary and Dense Prose (parte 1),"the expression had it not been line 9 describes a hypothetical action that would have occurred in the past
expression been line describes hypothetical action that would have occurred contexto since 1914 structure world changed
**Contexto:** 1 4 Since 1914 the structure of the world has changed. Compared to the present struggle between West and East, the rivalries of the eighteenth and nineteenth centuries sink into insignificance. Today we are faced, not with a clash of interests, b",The expression “Had it not been” (line 9) describes a hypothetical action that would have occurred in the past.
